Activity Type;Date;Favorite;Title;Distance;Calories;Time;Avg HR;Max HR;Aerobic TE;Avg Run Cadence;Max Run Cadence;Avg Pace;Best Pace;Total Ascent;Total Descent;Avg Stride Length;Avg Vertical Ratio;Avg Vertical Oscillation;Avg Ground Contact Time;Avg GCT Balance;Avg Run Cadence;Max Run Cadence;Training Stress Scoreå¨;Avg Power;Max Power;Grit;Flow;Total Strokes;Avg. Swolf;Avg Stroke Rate;Total Reps;Dive Time;Min Temp;Surface Interval;Decompression;Best Lap Time;Number of Laps;Max Temp;Avg Resp;Min Resp;Max Resp;Moving Time;Elapsed Time;Min Elevation;Max Elevation
Running;03.02.23 12:12;false;Berlin Running;8,01;527;00:41:46;147;159;3,2;172;215;05:13;04:09;102;92;1,1;9,7;10,8;228;51.0% L / 49.0% R;0;0;0;0;0;0;0;--;0;0;0;00:00;14;00:00;No;00:02.61.8;9;27;28;14;38;00:41:45;00:41:53;100;138
Pool Swimming;02.02.23 19:33;false;Pool Swimming;500;100;00:12:32;105;119;0,4;0;0;02:30;02:24;--;--;0;0;0;0;--;0;0;0;0;0;0;0;285;104;23;0;00:00;0;00:00;No;12:31.72.9;1;0;--;--;--;00:12:32;00:13:06;--;--
Pool Swimming;02.02.23 19:19;false;Pool Swimming;500;110;00:11:47;95;105;0,2;0;0;02:21;00:43;--;--;0;0;0;0;--;0;0;0;0;0;0;0;275;89;23;0;00:00;0;00:00;No;10.06.23 11:47;1;0;--;--;--;00:11:47;00:12:40;--;--
Running;01.02.23 12:03;false;Berlin Running;8;543;00:41:22;149;163;3,3;173;219;05:10;03:45;100;87;1,1;9,8;10,9;225;51.0% L / 49.0% R;0;0;0;0;0;0;0;--;0;0;0;00:00;11;00:00;No;20.03.23 00:01;9;27;30;17;38;00:41:21;00:41:48;56;103
Running;31.01.23 11:34;false;Berlin Running;10,01;666;00:52:11;148;163;3,4;172;192;05:13;04:11;103;94;1,1;9,9;11;231;50.7% L / 49.3% R;0;0;0;0;0;0;0;--;0;0;0;00:00;14;00:00;No;00:01.30;11;26;28;14;38;00:52:04;00:52:32;21;66
Indoor Cycling;30.01.23 17:56;false;Indoor Cycling;0;37;00:05:04.2;106;113;0,2;0;0;--;--;--;--;0;0;0;0;--;0;0;0;0;0;0;0;--;0;0;0;00:00;28;00:00;No;20.07.23 05:04;1;30;--;--;--;00:00:00;00:05:04.2;--;--
Running;29.01.23 09:04;false;Berlin Running;18,01;1.189;01:49:29;132;150;3,3;170;199;06:05;03:53;196;158;0,95;11,1;10,7;242;50.5% L / 49.5% R;0;0;0;0;0;0;0;--;0;0;0;00:00;8;00:00;No;00:01.66.6;19;26;33;18;46;01:49:17;01:51:21;63;104
Running;28.01.23 10:06;false;Berlin - Intervalls 1000s + 200s;14,41;982;01:10:50;157;186;4,8;175;201;04:55;02:57;102;105;1,15;9,1;10,2;231;51.3% L / 48.7% R;0;0;0;0;0;0;0;--;0;0;0;00:00;9;00:00;No;00:03.52.3;28;27;36;15;49;01:10:42;01:12:41;39;84
Running;27.01.23 12:09;false;Berlin - 00 Fr;13,01;882;01:02:28;160;174;4,6;174;183;04:48;04:12;135;134;1,19;9;10,8;222;51.5% L / 48.5% R;0;0;0;0;0;0;0;--;0;0;0;00:00;15;00:00;No;00:02.62.7;14;27;32;14;44;01:02:21;01:03:02;42;88
Running;26.01.23 12:05;false;Berlin Running;10,01;669;00:50:44;149;163;3,6;171;194;05:04;04:04;87;83;1,13;9,5;10,8;232;50.9% L / 49.1% R;0;0;0;0;0;0;0;--;0;0;0;00:00;9;00:00;No;06.02.23 00:02;11;24;28;18;40;00:50:33;00:51:53;58;89
Running;24.01.23 20:43;false;Berlin - DL III;11,01;730;00:50:33;163;182;4,8;175;184;04:36;03:57;75;64;1,23;8,5;10,7;221;51.0% L / 49.0% R;0;0;0;0;0;0;0;--;0;0;0;00:00;10;00:00;No;00:01.68.7;12;30;37;15;48;00:50:30;00:50:33;55;102
Running;22.01.23 08:00;false;Berlin Running;16;1.153;01:34:58;140;160;3,4;167;219;05:56;04:12;158;141;1;10,9;11;242;50.3% L / 49.8% R;0;0;0;0;0;0;0;--;0;0;0;00:00;10;00:00;No;00:00.51.5;17;27;29;17;38;01:34:45;01:36:46;35;79
Running;21.01.23 11:59;false;Berlin - Lauf ABC;1,23;203;00:15:03;147;162;2,4;132;192;12:14;04:45;38;42;0,76;15,1;11,3;371;52.3% L / 47.7% R;0;0;0;0;0;0;0;--;0;0;0;00:00;14;00:00;No;03.06.23 00:03;3;19;35;25;43;00:14:04;00:15:03;35;52
Running;21.01.23 10:51;false;Berlin - Intervalls 1000s + 200s;14,01;996;01:05:16;163;188;5;175;204;04:40;02:54;180;163;1,23;8,6;10,5;225;51.2% L / 48.8% R;0;0;0;0;0;0;0;--;0;0;0;00:00;9;00:00;No;22.06.23 00:02;26;26;37;16;51;01:05:08;01:05:16;56;97
Running;20.01.23 12:45;false;Berlin - DL II;12;896;00:58:32;160;179;4,9;171;181;04:53;03:55;124;91;1,19;9,1;11;224;51.2% L / 48.8% R;0;0;0;0;0;0;0;--;0;0;0;00:00;8;00:00;No;00:00.99.1;13;25;39;28;48;00:58:27;00:59:52;37;64
Running;18.01.23 19:40;false;Berlin Running;10;698;00:49:20;146;161;3,8;169;183;04:56;04:24;70;45;1,19;9,5;11,6;221;51.3% L / 48.7% R;0;0;0;0;0;0;0;--;0;0;0;00:00;9;00:00;No;24.07.23 04:37;10;29;29;19;42;00:49:14;00:49:45;-9;30
Running;16.01.23 13:10;false;Berlin - TW 16 Jan;11,02;793;00:49:53;166;183;5;172;180;04:32;03:55;58;62;1,29;0;0;0;--;0;0;0;0;0;0;0;--;0;0;0;00:00;15;00:00;No;00:09.87.8;12;27;--;--;--;00:49:51;00:49:53;42;69
